date,GHI,DNI,DHI,Temperature,Relative_Humidity,Cloud_Coverage,Wind_Speed
2014-01-01,9.3238,11.9304,0.7574,19.9,64.09,3.51,2.24
2014-01-02,8.9645,10.8144,1.056,21.73,60.08,25.91,2.07
2014-01-03,8.8378,9.6854,1.5067,22.52,61.52,31.8,1.61
2014-01-04,8.4211,8.3681,2.3441,22.38,59.29,31.3,1.26
2014-01-05,7.8734,6.9154,2.5949,21.89,63.38,49.69,1.93
2014-01-06,3.9667,0.1116,3.2263,21.61,66.66,98.0,0.85
2014-01-07,4.2442,1.933,3.1063,22.08,64.37,97.3,1.52
2014-01-08,5.4943,1.5838,3.6562,21.41,70.49,90.82,2.04
2014-01-09,6.576,3.0581,3.6845,21.76,69.87,79.29,2.57
2014-01-10,7.7638,7.465,2.2404,23.22,48.02,39.81,2.04
2014-01-11,8.311,8.5589,1.9567,22.06,57.53,23.95,2.37
2014-01-12,7.9289,6.9727,2.3378,22.48,65.7,36.68,2.29
2014-01-13,8.1454,8.3095,2.0095,23.31,59.33,27.42,1.59
2014-01-14,8.3458,7.5696,2.3606,21.62,65.28,18.43,2.03
2014-01-15,7.2528,4.4086,3.4176,21.67,65.28,57.06,2.18
2014-01-16,8.8231,9.9878,1.5396,23.76,52.98,30.06,3.13
2014-01-17,9.0516,10.9176,1.0714,22.8,50.49,5.73,2.38
2014-01-18,8.7142,9.643,1.3704,23.54,42.91,20.68,1.24
2014-01-19,5.0734,2.0837,2.9347,20.23,63.86,92.72,1.2
2014-01-20,7.9846,7.6481,1.9577,21.5,64.3,52.91,1.43
2014-01-21,6.7445,4.2329,3.4483,21.01,64.51,83.86,1.72
2014-01-22,7.9162,7.2874,2.0354,21.45,60.35,56.4,1.67
2014-01-23,6.9689,5.9604,2.1854,22.64,61.38,51.67,1.8
2014-01-24,6.4817,3.8635,3.0317,24.25,57.35,66.02,0.91
2014-01-25,7.5583,6.2683,2.5615,23.42,67.68,42.51,1.44
2014-01-26,6.2983,3.8767,3.301,21.2,67.36,56.0,3.6
2014-01-27,4.5528,1.8713,3.0773,20.63,70.87,75.3,3.35
2014-01-28,5.6712,1.8581,3.9845,21.22,69.86,92.87,2.45
2014-01-29,7.0478,5.088,3.2249,22.08,72.42,61.4,2.36
2014-01-30,5.2997,1.3594,3.893,22.63,72.71,82.95,1.61
2014-01-31,3.1102,0.3269,2.4132,19.57,84.17,99.04,2.42
2014-02-01,5.1629,1.4882,3.5918,20.37,80.71,97.19,2.05
2014-02-02,5.1804,1.7573,3.4459,20.53,83.67,92.15,1.52
2014-02-03,2.0506,0.1589,1.6301,20.25,82.08,98.11,2.51
2014-02-04,4.8526,1.789,3.3353,20.82,77.23,73.72,1.5
2014-02-05,6.0986,3.4776,3.2414,20.56,77.33,63.54,1.6
2014-02-06,5.0395,1.6445,3.2482,21.41,78.26,92.94,1.28
2014-02-07,6.221,3.2246,3.7003,21.24,73.65,63.76,2.82
2014-02-08,6.8616,4.932,2.9551,21.7,72.62,70.31,1.3
2014-02-09,5.6676,2.7238,3.6019,19.88,78.6,85.1,1.88
2014-02-10,6.335,4.1827,3.0317,21.02,69.0,54.13,1.55
2014-02-11,8.4374,10.3514,0.9473,20.82,57.64,17.98,1.73
2014-02-12,8.4713,10.4206,0.9401,21.58,51.05,12.44,2.83
2014-02-13,7.6615,7.5593,2.225,20.15,62.11,42.2,1.63
2014-02-14,6.8786,5.0484,3.1308,21.02,69.34,67.16,2.23
2014-02-15,7.0332,6.2393,2.6477,20.52,59.84,46.06,2.37
2014-02-16,8.0004,8.9537,1.6126,20.32,56.46,21.82,2.12
2014-02-17,7.745,7.338,2.2723,20.18,56.35,38.99,1.46
2014-02-18,7.3627,7.0435,2.179,21.64,54.23,35.66,1.58
2014-02-19,6.7702,4.8446,2.7221,21.56,64.56,71.95,2.12
2014-02-20,6.2359,4.1561,2.8704,21.04,70.32,59.28,2.01
2014-02-21,3.9511,1.4592,2.6225,20.51,74.39,76.87,2.05
2014-02-22,5.0978,2.2457,3.1937,20.58,76.12,78.97,1.8
2014-02-23,5.022,2.6544,2.7835,20.42,79.59,84.94,1.61
2014-02-24,5.0878,2.4823,3.133,19.99,77.94,79.71,1.95
2014-02-25,6.0005,3.9898,2.8577,20.36,74.28,58.82,2.25
2014-02-26,5.1864,2.5562,3.0389,19.65,72.37,67.12,1.48
2014-02-27,6.3094,4.759,2.7787,18.96,70.65,51.11,1.89
2014-02-28,6.8544,6.3228,2.4487,20.01,60.49,30.54,1.64
2014-03-01,2.7072,0.1896,2.2318,17.81,67.98,91.36,1.69
2014-03-02,2.4876,0.4466,1.9049,17.84,79.31,98.2,2.3
2014-03-03,2.633,0.4668,2.0683,18.15,86.83,99.3,1.85
2014-03-04,2.2294,0.3235,1.765,18.75,89.82,99.01,2.89
2014-03-05,2.281,0.2906,1.8132,18.98,84.83,98.28,2.33
2014-03-06,5.6225,3.7834,2.8056,19.65,82.1,78.89,1.6
2014-03-07,4.301,1.6882,2.9249,19.3,81.28,95.85,1.16
